GMM on Image Dataset:
n_components = 4
Precision [0.5416666666666666, 0.8333333333333334, 0.7307692307692307, 0.5967741935483871, 0.6133333333333333, 0.5121951219512195, 0.7796610169491526, 0.4444444444444444]
Recall [0.6610169491525424, 0.6707317073170732, 0.6129032258064516, 0.74, 0.4742268041237113, 0.6363636363636364, 0.5609756097560976, 0.7619047619047619]
Confusion [[ 39.   4.   7.   2.  13.   6.   0.   1.]
 [  0.  55.   0.   0.   8.   2.   1.   0.]
 [  4.   0.  38.   2.   3.   1.   3.   1.]
 [  2.   2.   5.  37.   2.   0.  10.   4.]
 [  1.   4.   4.   0.  46.  10.   9.   1.]
 [  5.  15.   2.   0.  13.  42.   4.   1.]
 [  0.   0.   5.   5.   0.   1.  46.   2.]
 [  8.   2.   1.   4.  12.   4.   9.  32.]]


